,,Timegap,X,Y,X-offset,Y-offset,Pupil Diameter Left (mm),Pupil Diameter Right (mm),Mouse X-coord,Mouse Y-coord,
,,13,1926,1333,0,0,4.55,4.37,2188,1230,
,,13,1936,1353,0,0,4.54,4.37,2188,1230,
,,13,1916,1346,0,0,4.51,4.35,2188,1230,
,,13,1966,1369,0,0,4.57,4.38,2188,1230,
,,13,1953,1383,0,0,4.59,4.43,2188,1230,
,,13,1926,1330,0,0,4.63,4.44,2188,1230,
,,13,1926,1220,0,0,4.61,4.46,2188,1230,
,,13,1910,1339,0,0,4.65,4.41,2188,1230,
,,13,1910,1326,0,0,4.57,4.49,2188,1230,
,,13,1953,1376,0,0,4.62,4.46,2188,1230,
,,13,1943,1320,0,0,4.59,4.44,2188,1230,
,,13,1916,1393,0,0,4.59,4.44,2188,1230,
,,13,1953,1280,0,0,4.62,4.47,2188,1230,
,,13,1933,1316,0,0,4.6,4.54,2188,1230,
,,13,1943,1343,0,0,4.63,4.54,2188,1230,
,,13,1953,1310,0,0,4.64,4.51,2188,1230,
,,13,1943,1363,0,0,4.59,4.58,2188,1230,
,,13,1963,1260,0,0,4.64,4.55,2188,1230,
,,14,1926,1369,0,0,4.68,4.48,2188,1230,
,,13,1966,1386,0,0,4.62,4.55,2188,1230,
,,13,1910,1366,0,0,4.61,4.48,2188,1230,
,,27,1926,1323,0,0,4.72,4.49,2188,1230,
,,13,1920,1310,0,0,4.73,4.46,2188,1230,
,,14,1956,1303,0,0,4.67,4.49,2188,1230,
,,13,1943,1323,0,0,4.71,4.49,2188,1230,
,,13,1940,1383,0,0,4.64,4.5,2188,1230,
,,13,1910,1273,0,0,4.68,4.49,2188,1230,
,,14,1913,1373,0,0,4.65,4.53,2188,1230,
,,13,1900,1303,0,0,4.67,4.51,2188,1230,
,,14,1940,1300,0,0,4.66,4.5,2188,1230,
,,13,1910,1369,0,0,4.65,4.55,2188,1230,
,,14,1926,1343,0,0,4.76,4.55,2188,1230,
,,13,1930,1353,0,0,4.68,4.54,2188,1230,
,,13,1953,1339,0,0,4.68,4.57,2188,1230,
,,13,1900,1333,0,0,4.67,0,2188,1230,
,,13,1930,1303,0,0,4.69,4.45,2188,1230,
,,13,1887,1336,0,0,4.66,4.57,2188,1230,
,,13,1940,1320,0,0,4.74,4.53,2188,1230,
,,13,1933,1349,0,0,4.68,4.56,2188,1230,
,,13,1907,1293,0,0,4.67,4.58,2188,1230,
,,14,1913,1210,0,0,4.66,4.49,2188,1230,
,,13,1930,1326,0,0,4.64,4.47,2188,1230,
,,13,1923,1333,0,0,4.71,4.55,2188,1230,
,,13,1903,1323,0,0,4.7,4.54,2188,1230,
,,14,1943,1339,0,0,4.69,4.51,2188,1230,
,,13,1916,1316,0,0,4.65,4.49,2188,1230,
,,13,1916,1366,0,0,4.65,4.51,2188,1230,
,,14,1784,955,0,0,0,4.49,2188,1230,
,,13,1890,1363,0,0,4.68,4.49,2188,1230,
,,13,1940,1316,0,0,4.73,4.51,2188,1230,
,,13,1943,1303,0,0,4.71,4.47,2188,1230,
,,13,1903,1349,0,0,4.72,4.54,2188,1230,
,,13,1926,1323,0,0,4.57,4.52,2188,1230,
,,13,1953,1376,0,0,4.63,4.49,2188,1230,
,,14,1903,1230,0,0,4.63,4.49,2188,1230,
,,13,1936,1313,0,0,4.67,0,2188,1230,
,,13,1900,1333,0,0,4.64,4.45,2188,1230,
,,13,1907,1280,0,0,4.65,4.4,2188,1230,
,,14,1926,1310,0,0,4.63,4.4,2188,1230,
,,13,1916,1330,0,0,4.71,4.45,2188,1230,
,,14,1956,1257,0,0,4.64,0,2188,1230,
,,13,1926,1386,0,0,4.64,0,2188,1230,
,,14,1953,1280,0,0,4.58,4.43,2188,1230,
,,13,1953,1320,0,0,4.65,4.4,2188,1230,
,,13,1920,1326,0,0,4.6,4.4,2188,1230,
,,13,1943,1336,0,0,4.56,4.38,2188,1230,
,,13,1970,1339,0,0,4.59,4.4,2188,1230,
,,13,1926,1339,0,0,4.62,4.39,2188,1230,
,,13,1976,1356,0,0,4.59,4.37,2188,1230,
,,13,1970,1359,0,0,4.61,4.37,2188,1230,
,,14,1943,1386,0,0,4.58,4.42,2188,1230,
,,13,1960,1363,0,0,4.56,4.41,2188,1230,
,,13,1953,1333,0,0,4.57,4.41,2188,1230,
,,13,1936,1330,0,0,4.58,4.4,2188,1230,
,,13,1996,1339,0,0,4.62,4.39,2188,1230,
,,13,1963,1333,0,0,4.51,4.36,2188,1230,
,,13,2006,1373,0,0,4.54,4.38,2188,1230,
,,13,1960,1320,0,0,4.56,4.36,2188,1230,
,,13,1853,1353,0,0,4.54,4.34,2188,1230,
,,13,1900,1343,0,0,4.54,4.36,2188,1230,
,,13,1910,1313,0,0,4.49,0,2188,1230,
,,13,1933,1313,0,0,4.52,4.35,2188,1230,
,,13,1890,1369,0,0,4.57,0,2188,1230,
,,13,1916,1330,0,0,4.49,0,2188,1230,
,,13,1887,1296,0,0,4.53,4.35,2188,1230,
,,13,1916,1349,0,0,4.57,0,2188,1230,
,,13,1933,1303,0,0,4.57,4.36,2188,1230,
,,13,1950,1346,0,0,4.53,4.39,2188,1230,
